transaction_id,user_id,newid,diary_newid,survey_source,payee,amount,date,day_of_week,category,family_size,has_children
md_00086,moneydata_user,MONEYDATA,,moneydata,PIE MINISTER,41.2,2022-06-24,Friday,Dining Out,,
md_00087,moneydata_user,MONEYDATA,,moneydata,BELL INN,14.09,2022-06-24,Friday,Dining Out,,
md_00088,moneydata_user,MONEYDATA,,moneydata,CAFE TERRAZZO,3.5,2022-06-24,Friday,Dining Out,,
md_00089,moneydata_user,MONEYDATA,,moneydata,AUDIBLE UK,7.99,2022-06-24,Friday,Entertainment,,
md_00090,moneydata_user,MONEYDATA,,moneydata,SAVE THE CHANGE,1.26,2022-06-23,Thursday,Savings,,
md_00091,moneydata_user,MONEYDATA,,moneydata,DOMINO'S PIZZA,9.99,2022-06-22,Wednesday,Dining Out,,
md_00092,moneydata_user,MONEYDATA,,moneydata,LIDL GB NOTTINGHAM,5.25,2022-06-22,Wednesday,Groceries,,
md_00093,moneydata_user,MONEYDATA,,moneydata,CAFE TERRAZZO,3.5,2022-06-22,Wednesday,Dining Out,,
md_00094,moneydata_user,MONEYDATA,,moneydata,SAVE THE CHANGE,1.09,2022-06-22,Wednesday,Savings,,
md_00095,moneydata_user,MONEYDATA,,moneydata,UBER   *TRIP,6.59,2022-06-21,Tuesday,Travel,,
md_00096,moneydata_user,MONEYDATA,,moneydata,NON-GBP TRANS FEE,0.06,2022-06-21,Tuesday,Other,,
md_00097,moneydata_user,MONEYDATA,,moneydata,ROMA TERMINI SELF,2.32,2022-06-21,Tuesday,Travel,,
md_00098,moneydata_user,MONEYDATA,,moneydata,SAVE THE CHANGE,0.92,2022-06-21,Tuesday,Savings,,
md_00099,moneydata_user,MONEYDATA,,moneydata,DOSA N CHUTNEY,41.2,2022-06-20,Monday,Dining Out,,
md_00100,moneydata_user,MONEYDATA,,moneydata,PAULINA PIPPEN,4.52,2022-06-20,Monday,Groceries,,
md_00101,moneydata_user,MONEYDATA,,moneydata,MISS D WU,11.0,2022-06-20,Monday,Other,,
md_00102,moneydata_user,MONEYDATA,,moneydata,TRADING212UK,200.0,2022-06-20,Monday,Savings,,
md_00103,moneydata_user,MONEYDATA,,moneydata,NON-GBP TRANS FEE,0.44,2022-06-20,Monday,Other,,
md_00104,moneydata_user,MONEYDATA,,moneydata,CHEF EXPRESS S.P.A,14.88,2022-06-20,Monday,Dining Out,,
md_00105,moneydata_user,MONEYDATA,,moneydata,SAVE THE CHANGE,1.72,2022-06-20,Monday,Savings,,
md_00106,moneydata_user,MONEYDATA,,moneydata,NON-GBP TRANS FEE,0.57,2022-06-20,Monday,Other,,
md_00107,moneydata_user,MONEYDATA,,moneydata,MS* CASASANTASOFIA,19.27,2022-06-20,Monday,Other,,
md_00108,moneydata_user,MONEYDATA,,moneydata,NON-GBP TRANS FEE,0.37,2022-06-20,Monday,Other,,
md_00109,moneydata_user,MONEYDATA,,moneydata,PIZZA FORUM,12.47,2022-06-20,Monday,Dining Out,,
md_00110,moneydata_user,MONEYDATA,,moneydata,AMZNMKTPLACE,23.0,2022-06-20,Monday,Household Supplies,,
md_00111,moneydata_user,MONEYDATA,,moneydata,NON-GBP TRANS FEE,0.46,2022-06-20,Monday,Other,,
md_00112,moneydata_user,MONEYDATA,,moneydata,BUDDY ITALIAN REST,15.54,2022-06-20,Monday,Dining Out,,
md_00113,moneydata_user,MONEYDATA,,moneydata,VIRGIN MEDIA PYMTS,56.25,2022-06-17,Friday,Utilities,,
md_00114,moneydata_user,MONEYDATA,,moneydata,SAVE THE CHANGE,1.26,2022-06-17,Friday,Savings,,
md_00115,moneydata_user,MONEYDATA,,moneydata,NON-GBP TRANS FEE,0.76,2022-06-16,Thursday,Other,,
